title,engine_size,engine_type,total_kms,price,link
Colm Cosgrave Cars Limited,Independent Dealer,2015,2.0 Diesel,"€22,950",/cars-for-sale/bmw-3-series-f30-d-m-sport-4dr-auto/36298084
BMW 3-Series 2014,2014,3.0 Diesel,"143,000 km","€16,000",/cars-for-sale/bmw-3-series-2014/37432963
BMW 3 series,2014,2.0 Diesel,"126,000 mi",€0,/cars-for-sale/bmw-3-series/37542282
**BMW F30 2.0d 2016 Facelift Model**,2016,2.0 Diesel,"155,000 mi","€12,000",/cars-for-sale/bmw-f30-2-0d-2016-facelift-model/37535751
BMW 3-Series 2015 xdrive,2015,2.0 Diesel,"170,000 km","€14,200",/cars-for-sale/bmw-3-series-2015-xdrive/37535593
The Airton Garage,Independent Dealer,2016,1.5 Petrol,"€15,950",/cars-for-sale/bmw-3-series-2016-auto/37535325
Airport Road Car Sales,Independent Dealer,2014,2.0 Diesel,"€12,950",/cars-for-sale/bmw-3-series-2014-new-timing-chain-kit-done/36149108
BMW 3-Series 2016,2016,2.0 Diesel,"271,000 km","€12,000",/cars-for-sale/bmw-3-series-2016/37525922
BMW 3-Series 2016,2016,2.0 Diesel,"183,000 km","€13,500",/cars-for-sale/bmw-3-series-2016/37304623
Great Island Motors,Independent Dealer,2014,2.0 Diesel,"€10,900",/cars-for-sale/bmw-3-series-cream-leather-manual-high-spec-f31-d/36199019
⚫️BMW M-SPORT 2014 320D⚫️,2014,2.0 Diesel,"137,000 mi","€11,250",/cars-for-sale/bmw-m-sport-2014-320d/36947465
BMW 335d Xdrive GT exceptional value,2015,3.0 Diesel,"94,400 mi","€21,995",/cars-for-sale/bmw-335d-xdrive-gt-exceptional-value/36373972
142 F30 D XDRIVE M SPORT 4DR,2014,2.0 Diesel,"238,619 km","€12,995",/cars-for-sale/142-f30-d-xdrive-m-sport-4dr/37296108
BMW série 3,2014,2.0 Diesel,"142,000 km","€7,500",/cars-for-sale/bmw-srie-3/37512396
Derek Considine Car Sales Ltd,Independent Dealer,2014,2.0 Diesel,"€8,950",/cars-for-sale/bmw-3-series-f30-d-efficiency-dynamics-business-4/37511658
BMW 318d sport,2014,2.0 Diesel,"105,000 mi","€13,500",/cars-for-sale/bmw-318d-sport/37293074
BMW 320d  Efficiency Edition F30 2015 Automatic,2015,2.0 Diesel,"318,000 km","€9,900",/cars-for-sale/bmw-320d-efficiency-edition-f30-2015-automatic/37292670
BMW 3 series nct till 2026,2016,2.0 Petrol,"77,000 mi","€14,700",/cars-for-sale/bmw-3-series-nct-till-2026/37400520
Greg's Garage,Independent Dealer,2016,2.0 Diesel,"€18,995",/cars-for-sale/bmw-3-series-320d-m-sport-manual/37662071?campaign=3
Aaamber Motors Ltd,Independent Dealer,2016,2.0 Petrol Hybrid,"€19,995",/cars-for-sale/2016-bmw-330e-auto-white/35533090?campaign=3
