title,engine_size,engine_type,total_kms,price,link
Killaloe Auto Sales Ltd,Independent Dealer,2015,2.1 Diesel,"€15,950",/cars-for-sale/mercedes-benz-c-class-c220-amg-auto-2-1/37667804
Autoview Cars Ltd,Independent Dealer,2016,2.1 Diesel,"€23,995",/cars-for-sale/mercedes-benz-c-class-c220d-automatic-nationwide/36927558
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€9,895",/cars-for-sale/mercedes-benz-c-class-c220-cdi-be-executive-se-5dr/37664580
Mercedes-Benz C-Class 2016 sport premium plus,2016,2.0 Petrol Plug-in Hybrid,"166,000 km","€15,950",/cars-for-sale/mercedes-benz-c-class-2016-sport-premium-plus/37665211
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€9,895",/cars-for-sale/mercedes-benz-c-class-c220-cdi-be-executive-se-5dr/37663907
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€13,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37663905
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€15,995",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-automat/37663896
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€15,995",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-automat/37663018
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€9,895",/cars-for-sale/mercedes-benz-c-class-c220-cdi-be-executive-se-5dr/37663009
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€13,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37663007
Mercedes c class,2014,2.1 Diesel,8 days,"€6,500",/cars-for-sale/mercedes-c-class/37450666
2014 Mercedes-benz C-class amg spec,2014,2.1 Diesel,"232,000 km","€9,500",/cars-for-sale/2014-mercedes-benz-c-class-amg-spec/37663683
Darragh Murphy Cars,Independent Dealer,2016,2.0 Petrol,"€19,999",/cars-for-sale/161-mercedes-benz-c-class-c350-hybrid-long-nct/37177660
Mercedes C180d auto,2016,1.6 Diesel,"152,453 km","€18,000",/cars-for-sale/mercedes-c180d-auto/37662091
Ratoath Motor Centre,Independent Dealer,2015,1.6 Petrol,"€21,333",/cars-for-sale/mercedes-benz-c-class-180-amg/37155503
BB Motors Kildare,Independent Dealer,2014,2.1 Diesel,"€13,950",/cars-for-sale/mercedes-benz-c-200-cdi-avantgarde/37525202
Eamon Murphy Car Sales.,Independent Dealer,2016,2.1 Diesel,"€16,000",/cars-for-sale/mercedes-benz-c220-sport-diesel-auto-/37660963
Maynooth Motors Ltd,Independent Dealer,2016,2.1 Diesel,"€26,795",/cars-for-sale/162-mercedes-c250-amg-premium-brand-new-nct-tax/37509494
Cunningham Autopoint,Independent Dealer,2016,1.6 Diesel,"€17,995",/cars-for-sale/mercedes-benz-c-class-c180d-avantgarde-auto/37342651?campaign=3
SPOTLIGHT,2015,1.6 Diesel,"184,000 km","€13,495",/cars-for-sale/mercedes-c-class-2015/37424504?campaign=3
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299?campaign=3
The Lodge Motor Company,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€14,995",/cars-for-sale/mercedes-benz-c350e-hybrid-estate-low-km-tax-1-25/37616514
141 Mercedes-Benz Amg sport,2014,2.1 Diesel,"98,000 km","€17,700",/cars-for-sale/141-mercedes-benz-amg-sport/37614841
Glassen Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c-series-e-sport-5dr-auto-/35655065
Top Spec Motors,Independent Dealer,2014,2.1 Diesel,"€19,800",/cars-for-sale/2014-142-mercedes-benz-220d-amg-sport/37084058
Bloomfield Car Sales,Independent Dealer,2015,2.1 Diesel,"€15,950",/cars-for-sale/mercedes-benz-c-class-2015-c220d-auto-nct-tax/37206201
Mercedes-Benz C350e Sport Plus Premium,2016,2.0 Petrol Plug-in Hybrid,"166,000 mi","€14,000",/cars-for-sale/mercedes-benz-c350e-sport-plus-premium/36517116
Windsor MotorMall,Franchise Dealer4.7/5,2016,2.1 Diesel,"€23,995",/cars-for-sale/mercedes-benz-c-class-c220-d-sport-2dr-auto/37455396
MotorWay,Independent Dealer,2016,1.6 Diesel,"€18,950",/cars-for-sale/mercedes-c200-sport-automatic/36673987
Ballywire SALES,Independent Dealer,2016,1.6 Diesel,"€20,000",/cars-for-sale/mecedes-c-class-night-edition/37137098
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"129,000 mi","€13,500",/cars-for-sale/mercedes-benz-c-class-2015/36861734
Thule roof bars,2015,2.1 Diesel Hybrid,17 days,€130,/cars-for-sale/thule-roof-bars/37592872
