title,engine_size,engine_type,total_kms,price,link
151 Audi A4 2.0L TDI SE Ultra,2015,2.0 Diesel,"134,000 mi","€12,950",/cars-for-sale/151-audi-a4-2-0l-tdi-se-ultra/37448759
Derek Considine Car Sales Ltd,Independent Dealer,2014,2.0 Diesel,"€10,950",/cars-for-sale/audi-a4-2-0-tdi-se-technik-136ps-4dr/37192134
Audi A4 S-Line Black Edition,2014,2.0 Diesel,"190,000 km","€15,300",/cars-for-sale/audi-a4-s-line-black-edition/37222252
Audi A4,2015,2.0 Diesel,"105,000 mi","€14,999",/cars-for-sale/audi-a4/37221945
Audi A4 2014,2014,2.0 Diesel,"162,000 mi","€11,200",/cars-for-sale/audi-a4-2014/37264122
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-sport-30k-km/37421854
Weirs Motors,Independent Dealer,2016,2.0 Diesel,"€20,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-low-mileage-150bhp-4dr/37153592?campaign=3
Liam Flood Cars,Independent Dealer,2015,2.0 Diesel,"€11,750",/cars-for-sale/audi-a4-tdi-automatic-audi-history-nct-jun25/37702146?campaign=3
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
FK Performance Motors,Independent Dealer,2016,2.0 Diesel,"€14,950",/cars-for-sale/audi-a4-2016-2-0-tdi-finance-available/37635038
BB Motors Kildare,Independent Dealer,2014,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-2-0-tdi-150bhp-quattro/37339570
Audi A4,2015,2.0 Diesel,"263,000 km","€13,000",/cars-for-sale/audi-a4/36442159
AUDI A4 151,2015,2.0 Diesel,"161,784 mi","€11,000",/cars-for-sale/audi-a4-151/37420642
Audi A4 2l TDI S Line 190 BHP,2016,2.0 Diesel,"131,000 mi",€12,/cars-for-sale/audi-a4-2l-tdi-s-line-190-bhp/37092625
Audi a4 tdi,2015,2.0 Diesel,"204,000 mi","€7,650",/cars-for-sale/audi-a4-tdi/37418335
Dunshaughlin Motor Company,Independent Dealer,2015,2.0 Diesel,"€11,950",/cars-for-sale/audi-a4-2-0-tdi-se-technik-ultra-163bhp-high-spe/37367301
2015 Audi A4 Avant SE Technik 2.0 TDI 136hp,2015,2.0 Diesel,"187,267 km","€12,250",/cars-for-sale/2015-audi-a4-avant-se-technik-2-0-tdi-136hp/37417318
Optimum Autos,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/2016-audi-a4-avant-s-line-2-0-quattro-4wd-59-50/37552942
William Roche Motors,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/audi-a4-2-0-tdi-se-ultra-148bhp-4dr-150ps/37421049
Audi A4,2015,2.0 Diesel,"166,500 km","€11,000",/cars-for-sale/audi-a4/37412311
Mellotte Motors,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-2-0tfsi-150bhp-auto/37232439
N2 Car Sales,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/162-audi-a4-s-line-2-0tdi-auto-new-nct-very-cle/37484143
N2 Car Sales,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/162-audi-a4-2-0tdi-manual-s-line-low-miles-new-nct/37550002
Audi A4,2015,2.0 Diesel,285 km,"€10,500",/cars-for-sale/audi-a4/37622311
Evra Motors,Independent Dealer,2016,1.4 Petrol,"€19,950",/cars-for-sale/audi-a4-se-ultra-1-4-petrol-automatic/37365838
Evra Motors,Independent Dealer,2016,2.0 Petrol,"€24,950",/cars-for-sale/audi-a4-2-0-tfsi-s-line-4dr-petrol-automatic/37468800
Evra Motors,Independent Dealer,2016,2.0 Petrol,"€24,950",/cars-for-sale/audi-a4-quattro-2-0-petrol-automatic-high-spec-/37466094
Audi a4 3.0 V6 Quattro S-line,2016,3.0 Diesel,"260,000 km","€19,950",/cars-for-sale/audi-a4-3-0-v6-quattro-s-line/35629803
ND Motors,Independent Dealer,2014,2.0 Petrol,"€14,450",/cars-for-sale/2014-audi-a4-2-0-tfsi-tecknik-auto/37354293
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-reverse-came/37616529
Kilcoyne & Scahill Motors Ltd,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/audi-a4-2016/37038347
LMR Car Sales,Independent Dealer,2015,2.0 Diesel,"€16,950",/cars-for-sale/audi-a4-s-line-black-edition-2-0-tdi/37566458
Long Mile Motors Ltd,Independent Dealer,2014,2.0 Diesel,"€10,000",/cars-for-sale/audi-a4-2014-avant-new-nct-war/37315009
Ballincollig Motors,Independent Dealer,2014,2.0 Diesel,"€11,950",/cars-for-sale/audi-a4-2014-2-0-tdi-new-nct/37612312
Je Car Sales Ltd,Independent Dealer,2015,2.0 Diesel,"€10,250",/cars-for-sale/audi-a4-2-0-tdi-estate-leather-sat-nav-new-nct/37317255
151 Audi s- line black edition 150 bhp,2015,2.0 Diesel,"207,831 km","€13,250",/cars-for-sale/151-audi-s-line-black-edition-150-bhp/37463722
Audi a4 s line,2016,2.0 Diesel,"177,000 km","€19,500",/cars-for-sale/audi-a4-s-line/37394606
142 Audi A4 S line,2014,2.0 Diesel,"181,000 mi","€10,000",/cars-for-sale/142-audi-a4-s-line/37394175
JMC Car Sales,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/stunning-audi-a4-sline/37702836?campaign=3
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
Weirs Motors,Independent Dealer,2016,2.0 Diesel,"€20,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-low-mileage-150bhp-4dr/37153592?campaign=3
Blue Diamond Cars,Independent Dealer,2016,2.0 Diesel,"€14,950",/cars-for-sale/new-shape-2-0-tdi-se-ultra-148bhp-new-nct/37187874
Drive Automotive LTD,Independent Dealer,2015,2.0 Diesel,"€11,900",/cars-for-sale/audi-a4-2015-2-0tdi/37672637
Drive Automotive LTD,Independent Dealer,2014,2.0 Diesel,"€8,900",/cars-for-sale/audi-a4-2014-2-0-tdi-automatic/37497630
Brendan Gunning Car Sales,Independent Dealer,2014,2.0 Diesel,"€12,695",/cars-for-sale/audi-a4-2014-2-0-diesel-nct-9-25-tax-6-25/37567162
Audi A4 2016,2016,2.0 Diesel,"193,500 km","€15,500",/cars-for-sale/audi-a4-2016/37628908
Roskeen Cars And Commercials,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-ultra-se-2-0-tdi-150bhp/37250934
