title,engine_size,engine_type,total_kms,price,link
M Sport Plus 320D,2015,2.0 Diesel,"279,000 km","€15,750",/cars-for-sale/m-sport-plus-320d/37536512
BMW 320D SERIES | M SPORT,2016,2.0 Diesel,"72,000 mi","€18,250",/cars-for-sale/bmw-320d-series-m-sport/37481885
VERY LOW MILES! AUTOMATIC! 318D BMW,2014,2.0 Diesel,"105,000 mi","€8,950",/cars-for-sale/very-low-miles-automatic-318d-bmw/37639804
Bmw 320d saloon,2015,2.0 Diesel,"78,000 mi","€16,795",/cars-for-sale/bmw-320d-saloon/37639698
Jack Martin Motors,Independent Dealer,2015,2.0 Diesel,"€14,450",/cars-for-sale/bmw-3-series-3-series-sport-new-timing-chain-75-p/37334598
BMW 320 F30 D Sport 4DR,2016,2.0 Diesel,"126,000 mi","€16,000",/cars-for-sale/bmw-320-f30-d-sport-4dr/37480353
O'Connell Automotive Ltd,Independent Dealer,2016,2.0 Diesel,"€11,999",/cars-for-sale/2016-bmw-3-series-2-0d-sport/37513482
Galway Car Sales.ie,Independent Dealer,2015,2.0 Diesel,"€10,995",/cars-for-sale/2015-bmw-320-sport-immaculate/37395067
Delta Car Sales Ltd,Independent Dealer,2016,2.0 Diesel,"€13,900",/cars-for-sale/2016-bmw-320d-163bhp-auto-nct-05-26/36706919
Paul O'Connor Cars,Independent Dealer,2016,2.0 Diesel,"€16,950",/cars-for-sale/bmw-3-series-318d-4dr-straight-sale-discount/37608794
2015 F30 MSPORT PLUS,2015,2.0 Diesel,"153,000 mi","€17,000",/cars-for-sale/2015-f30-msport-plus/37533125
Galway Car Sales.ie,Independent Dealer,2016,2.0 Diesel,"€14,995",/cars-for-sale/2016-bmw-316-diesel-low-kms-immaculate/37637099
GE Motors,Independent Dealer,2015,2.0 Diesel,"€14,995",/cars-for-sale/152-bmw-3-series-x-maxton-kit-like-new/37180929
2016 BMW 320 ED PLUS AUTO 360 CAMERA *M-PERF KIT,2016,2.0 Diesel,"150,107 mi","€15,000",/cars-for-sale/2016-bmw-320-ed-plus-auto-360-camera-m-perf-kit/37583783
Tom Hand Cars,Independent Dealer,2014,2.0 Diesel,"€14,445",/cars-for-sale/bmw-320d-f30-m-sport-2014-sunroof-model/37538419
Tom Hand Cars,Independent Dealer,2014,1.6 Petrol,"€10,945",/cars-for-sale/bmw-316i-se-touring-5dr-2014-nct-05-26/37222497
BMW 3-Series 2015,2015,2.0 Diesel,"125,000 km","€12,500",/cars-for-sale/bmw-3-series-2015/37423159
151 BMW 3 Series,2015,2.0 Diesel,"128,596 km","€12,500",/cars-for-sale/151-bmw-3-series/37635506
J.Reynolds Car Sales,Independent Dealer,2014,2.0 Diesel,"€9,999",/cars-for-sale/bmw-316-auto-nct-1-25-2014/35688813
BMW 320D M-Sport,2015,2.0 Diesel,"78,791 mi","€16,950",/cars-for-sale/bmw-320d-m-sport/37634614
Grand Motors,Independent Dealer,2014,2.0 Diesel,"€8,750",/cars-for-sale/bmw-3-series-2014-automatic/37634284
Autoxpress,Independent Dealer,2014,2.0 Diesel,"€8,995",/cars-for-sale/bmw-3-series-316d-es-z3ao-116-bhp-4dr/37633753
Haley Car Sales Ltd,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/15-bmw-3-series-sport-auto-/37633309
Weirs Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,No price found,/cars-for-sale/bmw-3-series-f30-330e-m-sport-4dr-auto/37633219
Bluegate Car Store by Frank Keane,Franchise Dealer,2015,2.0 Diesel,"€14,995",/cars-for-sale/bmw-3-series-d-sport-4dr-cream-leather-interior-s/37633228
Petersons,Independent Dealer,2016,2.0 Diesel,"€16,950",/cars-for-sale/bmw-3-series-318d-se-zlbt-4dr-automatic/36581090?campaign=3
Naas Road Autos,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-5dr-estate-auto-/37633110?campaign=3
SPOTLIGHT,2014,2.0 Diesel,"154,540 km","€10,850",/cars-for-sale/bmw-3-series-2014-diesel-automatic-low-kms/37621963?campaign=3
Bloomfield Car Sales,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-2016-320d-estate-5dr-auto-new-nct/37403228
Maurice Dunne Motors,Independent Dealer,2016,2.0 Diesel,"€15,995",/cars-for-sale/bmw-3-series-2016/36951744
Hugo Cars,Independent Dealer4.9/5,2016,2.0 Petrol Plug-in Hybrid,"€19,888",/cars-for-sale/deposit-taken/37193085
DG Cars & 4X4 LTD,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/2016-bmw-320d-m-sport-automatic/37632636
💥BMW 320d Sport 184hp Auto very low miles💥,2014,2.0 Diesel,"100,000 mi","€12,500",/cars-for-sale/bmw-320d-sport-184hp-auto-very-low-miles/37066733
D&J Motors,Independent Dealer,2015,2.0 Petrol,"€18,950",/cars-for-sale/bmw-320i-x-drive-2-0-m-sport-automatic-2015-low-km/37420554
Petersons,Independent Dealer,2016,2.0 Diesel,"€16,950",/cars-for-sale/bmw-3-series-318d-se-zlbt-4dr-automatic/36581090
Castle Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€20,900",/cars-for-sale/bmw-3-series-330-e-2-0-m-sport-plug-in/36409988
BMW 3-Series 2014,2014,2.0 Diesel,"160,831 mi","€7,250",/cars-for-sale/bmw-3-series-2014/37631341
BMW 316D *NEW NCT 11.25*,2014,2.0 Diesel,"320,000 km","€5,150",/cars-for-sale/bmw-316d-new-nct-11-25/37111090
Car Podium  Car Sales,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/2016-bmw-320d-auto-low-kms-m-performance-kitted/37420507
2016 BMW 320D,2016,2.0 Diesel,"169,000 mi","€11,800",/cars-for-sale/2016-bmw-320d/37578023
Dunshaughlin Motor Company,Independent Dealer,2015,2.0 Diesel,"€11,900",/cars-for-sale/bmw-3-series-318d-se-irish-car/36895192
BMW 320d msport performance,2015,2.0 Diesel,"155,000 km","€20,995",/cars-for-sale/bmw-320d-msport-performance/37629839
Killaloe Auto Sales Ltd,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/2016-bmw-3-series-320d-m-sport-2-0-m-performance/37576705
BMW 3 Series,2015,2.0 Diesel,"114,000 mi","€16,000",/cars-for-sale/bmw-3-series/37629341
Bmw 3 series,2014,2.0 Diesel,"230,000 km","€8,500",/cars-for-sale/bmw-3-series/37523892
Automart Lucan,Independent Dealer,2016,2.0 Diesel,"€21,499",/cars-for-sale/bmw-3-series-2016-2-0-diesel-automatic-m-sports/37546241
141 bmw 316 diesel new nct,2014,2.0 Diesel,"200,123 mi","€7,500",/cars-for-sale/141-bmw-316-diesel-new-nct/37594018
Autoxpress,Independent Dealer,2015,2.0 Diesel,"€17,750",/cars-for-sale/bmw-3-series-320d-estate-automatic-/37627291
"BMW 3-SERIES, PLUG IN HYBRID ⚡ ELECTRIC/PETROL ⛽",2016,2.0 Petrol Plug-in Hybrid,"45,000 km","€19,499",/cars-for-sale/bmw-3-series-plug-in-hybrid-electric-petrol/36960171
Autoxpress,Independent Dealer,2015,2.0 Diesel,"€19,495",/cars-for-sale/bmw-3-series-320d-estate-automatic-/37627015
16 BMW 318 SE AUTO,2016,2.0 Diesel,"113,500 mi","€14,750",/cars-for-sale/16-bmw-318-se-auto/37345461
Autoxpress,Independent Dealer,2015,2.0 Petrol,"€21,995",/cars-for-sale/bmw-3-series-320i-gt-sport-automatic-reverse-cam/37627014
Bill Griffin Motors,Independent Dealer4.3/5,2016,1.5 Petrol,"€17,900",/cars-for-sale/bmw-3-series-1-5-se-auto-full-digital-service/37626787
BMW 320D M-Sport,2015,2.0 Diesel,"188,000 mi","€13,500",/cars-for-sale/bmw-320d-m-sport/37413950
N. Conlan & Sons Ltd,Franchise Dealer4.7/5,2014,2.0 Diesel,"€13,995",/cars-for-sale/bmw-3-series-316d-se/37336553
Naas Road Autos,Independent Dealer,2015,2.0 Petrol,"€17,950",/cars-for-sale/bmw-3-series-2-0i-x-drive-m-sport-estate-auto-/37146034
BMW 330E Msport // Low miles //High Spec,2016,2.0 Petrol Plug-in Hybrid,"29,500 mi","€23,999",/cars-for-sale/bmw-330e-msport-low-miles-high-spec/37625428
Kearys CarStore,Independent Dealer4.4/5,2016,2.0 Diesel,"€17,777",/cars-for-sale/bmw-3-series-318d-se/37579362
