title,engine_size,engine_type,total_kms,price,link
Blanchardstown Auto Leader,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,450",/cars-for-sale/162-mercedes-benz-c350-e-210bhp-auto-hybrid/37046532
Blanchardstown Auto Leader,Independent Dealer,2016,1.6 Diesel,"€20,450",/cars-for-sale/mercedes-benz-180-bluetec-amg-auto-low-km/36794287
Mercedes-Benz C63 AMG S,2015,4.0 Petrol,"120,800 km","€53,950",/cars-for-sale/mercedes-benz-c63-amg-s/37527624
Fleetwise Ltd,Independent Dealer,2014,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-2-1-c220-bluetec-se-executi/36027528
2016 mercedes c350e sport premium plus,2016,2.0 Petrol Plug-in Hybrid,"110,000 mi","€17,800",/cars-for-sale/2016-mercedes-c350e-sport-premium-plus/37201298
Kearys CarStore,Independent Dealer4.4/5,2016,2.1 Diesel,"€23,888",/cars-for-sale/mercedes-benz-c-class-c220-220-d-2dr-auto/28935491?campaign=3
MotorCorp,Independent Dealer,2016,2.0 Hybrid,"€16,990",/cars-for-sale/mercedes-benz-c-class-c350e-sport-premium-plus/37633329?campaign=3
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299?campaign=3
Mercedes c220 AMG,2014,2.1 Diesel,"103,000 mi","€15,000",/cars-for-sale/mercedes-c220-amg/37632004
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299
2014 MERCEDES c200*NCT 2/25*,2014,2.1 Diesel,"246,000 km","€9,000",/cars-for-sale/2014-mercedes-c200nct-2-25/36834180
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"211,000 km","€15,990",/cars-for-sale/mercedes-benz-c-class-2015/37418501
Dunshaughlin Motor Company,Independent Dealer,2014,2.1 Diesel,"€11,950",/cars-for-sale/mercedes-benz-c-class-c200-2-2-cdi-be-exec-se-aut/37567443
Green Mile Motors,Independent Dealer,2015,1.6 Diesel,"€18,995",/cars-for-sale/2015-mercedes-benz-c180-automatic-low-miles/33095760
Desmond Motors,Independent Dealer,2016,2.0 Petrol,No price found,/cars-for-sale/mercedes-benz-c-class-coupe/36749998
Right Price Cars,Independent Dealer,2015,2.1 Diesel,"€14,950",/cars-for-sale/mercedes-c220-bluetec-executive-se-estate/37628462
Mercedes-Benz C-Class 2015 AMG PREMIUM PLUS,2015,2.1 Diesel Hybrid,"250,000 km","€19,900",/cars-for-sale/mercedes-benz-c-class-2015-amg-premium-plus/37414063
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"224,900 km","€6,490",/cars-for-sale/mercedes-benz-c-class-2014/37273512
James Hennessy Motors Ltd,Independent Dealer,2015,1.6 Diesel,"€19,995",/cars-for-sale/mercedes-benz-c-class-c200-bluetec-exclusive-auto/36617481
N2 Car Sales,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€15,950",/cars-for-sale/161-c-class-2-0-plug-in-hybrid-low-miles-new-nct/36692304
Kearys CarStore,Independent Dealer4.4/5,2016,2.0 Petrol Plug-in Hybrid,"€19,888",/cars-for-sale/mercedes-benz-c-class-c350-e-sport-premium-5dr-au/37621800
A & J Motors,Independent Dealer,2014,2.1 Diesel,"€14,850",/cars-for-sale/14-mercedes-c-class-2-1-diesel-automatic/37618794
MERCEDES C-CLASS AUTOMATIC (162),2016,2.0 Petrol Plug-in Hybrid,"125,000 mi","€12,950",/cars-for-sale/mercedes-c-class-automatic-162/37550928
Marble City Motors,Independent Dealer,2016,1.6 Petrol,"€15,950",/cars-for-sale/mercedes-benz-c-class-c-180-2dr-auto/37616997
The Lodge Motor Company,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€14,995",/cars-for-sale/mercedes-benz-c350e-hybrid-estate-low-km-tax-1-25/37616514
Dunshaughlin Motor Co,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€15,450",/cars-for-sale/161-mercedes-benz-c350e-hybrid-auto/37511022
141 Mercedes-Benz Amg sport,2014,2.1 Diesel,"98,000 km","€17,700",/cars-for-sale/141-mercedes-benz-amg-sport/37614841
Treacy's Auto Centre,Independent Dealer,2016,1.6 Diesel,"€18,950",/cars-for-sale/mercedes-benz-c-class-2016-exclusive-auto/37612425
Glassen Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c-series-e-sport-5dr-auto-/35655065
Mercedes c class,2014,2.1 Diesel,6 days,"€6,700",/cars-for-sale/mercedes-c-class/37450666
Top Spec Motors,Independent Dealer,2014,2.1 Diesel,"€19,800",/cars-for-sale/2014-142-mercedes-benz-220d-amg-sport/37084058
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"206,000 km","€12,000",/cars-for-sale/mercedes-benz-c-class-2014/37608654
2015 C300H AMG PREMIUM+ **MASSIVE SPEC**,2015,2.1 Diesel Hybrid,"148,000 mi","€15,999",/cars-for-sale/2015-c300h-amg-premium-massive-spec/37556795
2016 Mercedes-Benz C-Class c-200 cdi,2016,1.6 Diesel,"163,000 mi","€10,950",/cars-for-sale/2016-mercedes-benz-c-class-c-200-cdi/37384727
