title,engine_size,engine_type,total_kms,price,link
H West Motors,Independent Dealer,2016,2.0 Diesel,"€20,945",/cars-for-sale/bmw-5-series-m-sport-auto-162/37503358
Kylemore Cars,Independent Dealer4.7/5,2015,1.6 Petrol,"€14,950",/cars-for-sale/bmw-1-series-1-6-automatic/37653979
Kevin Kennedy Motors,Independent Dealer,2015,2.0 Diesel,"€19,995",/cars-for-sale/bmw-5-series-520-d-f10-m-sport-4dr-auto/36980365
Bradys Cavan,Franchise Dealer,2014,1.6 Petrol,No price found,/cars-for-sale/bmw-1-series-116i-style/37653789
Sarsfield Motors,Independent Dealer,2014,2.0 Diesel,"€13,950",/cars-for-sale/2014-bmw-520d-m-sport-auto-/37620494
Oliver Geoghegan Car Sales,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/bmw-4-series-420d-f36-m-sport-gran-coupe/34958222
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Diesel,No price found,/cars-for-sale/bmw-5-series-bmw-523d-heated-leather-seats-revers/37653207
Quantum Autos,Independent Dealer,2015,2.0 Diesel,"€14,995",/cars-for-sale/bmw-4-series-2015-420d-sport-5-seat-2-0d-190bhp/37653700
West Dublin Motor Company,Independent Dealer,2016,2.0 Diesel,No price found,/cars-for-sale/bmw-2-series-gran-tourer-218d-sport-zs2k-4dr-auto/37653617
Niall Scollan Cars,Independent Dealer,2016,2.0 Diesel,"€16,500",/cars-for-sale/bmw-2-series-f22-d-sport-2dr/36571806
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€16,950",/cars-for-sale/bmw-2-series-gran-tourer-2-0-d-se-luxury-mpv-auto/36659772
Naas Road Autos,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-5dr-estate-auto-/37633110
Naas Road Autos,Independent Dealer,2015,1.6 Petrol,"€14,950",/cars-for-sale/bmw-1-series-1-6-m-sport-5dr-hatchback-auto-we/37331526
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334
Naas Road Autos,Independent Dealer,2014,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-estate-automatic-stu/37086006
Naas Road Autos,Independent Dealer,2014,2.0 Petrol,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-4dr-saloon-automatic-/37653392
BMW 5-Series 2014,2014,2.0 Diesel,22 hours,"€8,950",/cars-for-sale/bmw-5-series-2014/37136307
Auto Class Motors Ltd,Independent Dealer,2015,2.0 Diesel,"€20,950",/cars-for-sale/bmw-4-series-420d-m-sport-sunroof-gran-coupe-38/37653380
Automatic Motor Car Centre,Independent Dealer,2015,1.6 Petrol,No price found,/cars-for-sale/bmw-1-series-118i-m-sport-heated-leather-seats-bm/37653186
BMW X5 40E \Panoramic Sunroof\Immaculate condition,2016,2.0 Petrol Plug-in Hybrid,"26,500 mi","€37,999",/cars-for-sale/bmw-x5-40e-panoramic-sunroofimmaculate-condition/37633020
DUBLINCARS.IE,Independent Dealer,2016,3.0 Diesel,"€35,950",/cars-for-sale/bmw-x6-m-sport-finance-x-drive-mint/37301227
BMW 3-Series 2014,2014,2.0 Diesel,"117,500 mi",No price found,/cars-for-sale/bmw-3-series-2014/37494848
Trade Cars,Independent Dealer,2016,2.0 Diesel,"€11,950",/cars-for-sale/2016-bmw-520d-se-auto-190-bhp/37043603
